title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python,南京,Python,大专,经验不限,"[""Python"", ""\u4eba\u5de5\u667a\u80fd"", ""\u673a\u5668\u4eba"", ""\u667a\u80fd\u9a7e\u9a76""]","[7000, 8000]",13薪,"[""\u5305\u5403\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5168\u52e4\u5956\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u80a1\u7968\u671f\u6743\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5458\u5de5\u65c5\u6e38""]",总经理,徐飞总经理,0,福尔摩斯智能科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20160912/b3227de04e7870c169e1f4b27d2174f7602d51d55240f7f1b3fa146ff8787dc9.jpg?x-oss-process=image/resize,w_100,limit_0",智能硬件,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/1d06cf1acd20bf010XF-0t-1E1c~.html?lid=91GDL0fDLEA.search.1&securityId=WDHk3BbWUsq1r-A1GDXPN1PgHIZW9zke-xDD0yxQF1H9UIM6BJ_XbHh1bOzqv6zb3C5krkFj2cniD6fZS_8Atwrhrtaer5U2IFGolRg4gzOKGswM8pSSn_PxqL9XM6IOcdWt2vDJ&sessionId=,https://www.zhipin.com/gongsi/3b5e886ba60d6c671HJy2tq0.html,江宁区
python开发,忻州,Python,大专,1-3年,"[""\u722c\u866b"", ""\u6570\u636e\u5f00\u53d1"", ""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u722c\u866b\u7ecf\u9a8c""]","[6000, 7000]",0薪,"[""\u5168\u52e4\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u9879\u76ee\u5956\u91d1""]",行政,温靖行政,0,太原驼铃,"https://img.bosszhipin.com/beijin/upload/com/logo/20190606/adc3d8099f4c63c44b225fc33e18c4d4935da28ae8a292a9f005515c5cdb9f8a.png?x-oss-process=image/resize,w_100,limit_0",贸易/进出口,未融资,"[0, 20]",https://www.zhipin.com/job_detail/fef110f3af64fc2e1X1_0t65GFJT.html?lid=91GDL0fDLEA.search.2&securityId=zVfoFSs31AfAp-S1BpuxVxasdnBspF295JDD2bLm-USJTKEzCKoCtF-q6HGUXL1A7xA1Piiky_fl9chmoyf4q4JbDIyM-PVU0qaTCURCV50_6S2rrVv8XgonVL7W4nXN0XLjBlv_SG4~&sessionId=,https://www.zhipin.com/gongsi/caa728ebf95899b203J63NW1GA~~.html,忻府区
python讲师,黔东南苗族侗族自治州,Python,大专,1-3年,"[""C/C++"", ""\u80a2\u4f53\u6b8b\u75be"", ""\u673a\u5668\u5b66\u4e60/\u7b97\u6cd5\u5de5\u7a0b"", ""\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c"", """", """", """", """"]","[4000, 9000]",0薪,无,招聘者,魏长安招聘者,0,贵州乐创科技有限公司,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",培训机构,未融资,"[20, 99]",https://www.zhipin.com/job_detail/24b3ad74d48a9fb11XJ-3dy7GFFS.html?lid=91GDL0fDLEA.search.3&securityId=AoGd9fJORNRrq-k1xZkqx5YOEMtEajCtzVApUcpBSkSJvdeY9i4fvEs6hxXjsAjQwLwq7YKMh7R5yK_f7Rm-FuccC9_O5QqeCuRXLbEd8a8qBSiZfPKVb5-w3CPLKSR4pZ58rX2kk1vW&sessionId=,https://www.zhipin.com/gongsi/2aa67f97996ed74a1n162Nu5GVU~.html,凯里市
python,辽阳,Python,学历不限,经验不限,"[""C/C++"", ""Python""]","[3000, 8000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u5de5\u9f84\u5956\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u9910\u8865\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u4fdd\u5e95\u5de5\u8d44\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u514d\u8d39\u5de5\u88c5\uff0c\u5e95\u85aa\u52a0\u63d0\u6210\uff0c\u5168\u52e4\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5bbf\u820d\u6709\u7a7a\u8c03\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u6709\u65e0\u7ebf\u7f51""]",招聘者,孙浩洋招聘者,0,博远创客,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",文化/体育/娱乐,未融资,"[0, 20]",https://www.zhipin.com/job_detail/cf5e716cdbd5eeda1XJ-2tm7FFZT.html?lid=91GDL0fDLEA.search.4&securityId=wJmpg4TNt3z8w-L1txOY1lm8yquUyGTUPZO20kdAv_96HMUk7eHEcN3bT82FrWU9LUig2bmwj-nmrmO0_aa1u1cR2dHJW0JgszAX12GVfQ9qzctZycoeMHolhrPXodjs9w0kuqU7mW2JKw~~&sessionId=,https://www.zhipin.com/gongsi/9acce28bb30859341nZ-0ty-FFE~.html,白塔区
Python实习生,长沙,Python,大专,6个月,"[""Python""]","[130, 160]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c20\u5929\u957f\u5047""]",战略顾问,张宇战略顾问,1,南项软件,"https://img.bosszhipin.com/beijin/upload/com/logo/20211120/7b5b554d84f9729c2e98ec1dc582d1bbc78eb583a28cbea94d206ae8614ad7ce478eff9515046818.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/0f260c2f33e952411XN73dS9EVFZ.html?lid=91GDL0fDLEA.search.5&securityId=Ow7Xh8mFZB6Jn-T1kEpuIQGYgCdVFRsnU16OMmX28H_J7qKOvSbhqb8hAwABzKlVZMebtpIMUVQbhM_leb13J0O8MMwa6KfwC5FU-_DDXlAaHrtOWjNejoS7Q8woXwZy8Qibe05KuA~~&sessionId=,https://www.zhipin.com/gongsi/cf503f00106f42000XN52969GQ~~.html,芙蓉区
Python老师,广安,Python,大专,1年以内,"[""\u673a\u5668\u5b66\u4e60/\u7b97\u6cd5\u5de5\u7a0b"", ""Python"", ""C/C++"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", """", """", """", """"]","[4000, 9000]",0薪,"[""\u5168\u52e4\u5956\uff0c\u8282\u65e5\u798f\u5229\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u514d\u8d39\u5de5\u88c5\uff0c\u5de5\u9f84\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u5e95\u85aa\u52a0\u63d0\u6210\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047""]",人力资源总监,周祥人力资源总监,0,途锦星蓝,"https://img.bosszhipin.com/beijin/upload/com/logo/20200330/3e258afb57f15d35d6b55fa0b627465760fe22862598ece02cf49d7c29451049.png?x-oss-process=image/resize,w_100,limit_0",培训机构,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/c065020f6b1800a31XZ52du5F1dU.html?lid=91GDL0fDLEA.search.6&securityId=sI8uHppJTYPvZ-S1iI-tCKMSGyj_JJ5HfJz5ZlPZgV0CU7isCxoqoZqtcjb2q_OMYiDBNLT70kcrhdl8TbZNwF4vzC1xiDVpLeG6AGfdCZXEMLNQM1bphX8XFg29sd3veeT6hAUdTDQT&sessionId=,https://www.zhipin.com/gongsi/b9a090a3351167130HJ_3NS1Eg~~.html,广安区
Python初级开发工程师,长沙,Python,大专,经验不限,"[""SQL"", ""Python\u5f00\u53d1""]","[4000, 7000]",0薪,"[""\u8282\u65e5\u798f\u5229\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047""]",人事,邓水华人事,0,深圳瑛雄,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",建筑设计,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/b980fd41554ebd831n143dS7FVFW.html?lid=91GDL0fDLEA.search.7&securityId=xbLh0YRnGoSXs-T1_17A0Am2WnrdZqG5DdoghiR-JK2izvYxJX5P2CkbPmh21-mfT1Qr4YxxOWeXEgtM-7oy9EKGBH7GpqPcO5iSyKbjEm9CVF6gpHlV15RjmNLZYTjTe_4LhFMa3kFgHw~~&sessionId=,https://www.zhipin.com/gongsi/d0fe547c65dcc6201nZ90ti8FVQ~.html,芙蓉区
python工程师,佛山,Python,学历不限,1-3年,"[""Python"", ""Scrapy"", ""Numpy"", ""Flask"", ""MySQL"", ""Redis"", """"]","[10000, 15000]",0薪,"[""\u5bbf\u820d\u6709\u7a7a\u8c03\uff0c\u8282\u65e5\u798f\u5229\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u4fdd\u5e95\u5de5\u8d44\uff0c\u5305\u4f4f\uff0c\u5e74\u7ec8\u5956\uff0c\u5168\u52e4\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u6709\u65e0\u7ebf\u7f51\uff0c\u5e95\u85aa\u52a0\u63d0\u6210\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u5305\u5403""]",项目总监,李理项目总监,0,玖嘉久,"https://c-res.zhipin.com/jrs/cb0cf1f7c4497ba9772de435fa6e3953.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/75c268b3f1fc91001HZ43di6EVRR.html?lid=91GDL0fDLEA.search.8&securityId=triBRJOAu7gRg-D1xD0xbJJrGMshI4oGYCf69DF29J-Y-gyTudIixf4v_px_3_UDpNEsvwx7p0MXEWkKF_nWpHdgT_9sW5LdbZsOqq53XFGN70r1DmsV62tWlWZtLLrnhoyuktAwLKVcuUsE5mEtU_BPujXzWYI7MNo1Tuw2-GJiTQti&sessionId=,https://www.zhipin.com/gongsi/c4363fd116afd4c51XJ83920Ew~~.html,顺德区
python老师,德州,Python,大专,1年以内,"[""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[4000, 7000]",0薪,"[""\u751f\u65e5\u798f\u5229\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u6709\u65e0\u7ebf\u7f51\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u80a1\u7968\u671f\u6743\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u5168\u52e4\u5956\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5de5\u9f84\u5956""]",人事,王女士人事,0,莱凯教育,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230513/7bf6f160950405e93560bebd7a92b15c6f84a2196150fde6eb2e358e1928340b5e21e9256de55271.jpg?x-oss-process=image/resize,w_100,limit_0",培训机构,天使轮,"[20, 99]",https://www.zhipin.com/job_detail/06751708734e709e1HV_3N-_FlJV.html?lid=91GDL0fDLEA.search.9&securityId=hL4q-MZtSX4R5-I1C8xrJiX4wq-30-UX_0nLPk0ETV2LslJebs62dgddl8ISB3Jlhfqwjyo_pOsn4dD6wLAkzRjb8rO4LSoM0fIwcgaGJeq8j8boPVImdXLYMPoT_yTpQyB1gXGHuDDujqstKRHA5advpBk8iFetcuTaWLCPcU6Bnvw~&sessionId=,https://www.zhipin.com/gongsi/5376ce67d13752fb1nV73tS7Fw~~.html,德城区
Python,新乡,Python,大专,1-3年,"[""Python"", ""Flask"", ""Django"", ""Redis"", ""MongoDB""]","[5000, 10000]",0薪,"[""\u5e95\u85aa\u52a0\u63d0\u6210\uff0c\u5bbf\u820d\u6709\u7a7a\u8c03\uff0c\u8282\u65e5\u798f\u5229\uff0c\u9910\u8865\uff0c\u5305\u4f4f\uff0c\u751f\u65e5\u798f\u5229\uff0c\u5de5\u9f84\u5956\uff0c\u5168\u52e4\u5956""]",招聘,赵先生招聘,0,易安航空,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",电子商务,未融资,"[100, 499]",https://www.zhipin.com/job_detail/8545a814491e8ee11HV839-9E1RZ.html?lid=91GDL0fDLEA.search.10&securityId=vCE8RBd9B53on-71HnmNisWF8slpZSeTb0kGYNxeBh4NpGhYiXejuLjD7hptVpGSRQKlUyt44kqQJKv-PLMstcXXX1IWIwaNyPW7PPBGxZt1Uu-PZBj2p1QM3_zWm3mSYrlbZNMJDVhg5gtQ-BC2kltsFY8unAIGcPzeZM9c0-Dl4CrZIw~~&sessionId=,https://www.zhipin.com/gongsi/13a26c7108f38aee1XN_0ti8FlM~.html,红旗区
